"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1150","test_newest_movies[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_type","",""
"","1486","test_popular_movies_by_genre[chromium]","tests","2026-01-01","failed","2026-01-01","","test_film_list_by_genre","",""
"","1188","test_newest_tvshows[chromium]","tests","2026-01-01","failed","2026-01-01","","test_film_list_by_type","",""
"","3076","test_movies_displayed_by_search[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_search","",""
"","1166","test_popular_tvshows[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_type","",""
"","1182","test_trend_tvshows[chromium]","tests","2026-01-01","failed","2026-01-01","","test_film_list_by_type","",""
"","1162","test_top_rated_movies[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_type","",""
"","1341","test_popular_tvshows_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
"","1254","test_newest_movies_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
"","1402","test_trend_tv_shows_by_year[chromium]","tests","2026-01-01","failed","2026-01-01","","test_film_list_by_year","",""
"","1212","test_top_rated_tvshows[chromium]","tests","2026-01-01","failed","2026-01-01","","test_film_list_by_type","",""
"","1219","test_top_rated_movies_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
"","1437","test_by_paging_number[chromium]","tests","2026-01-01","passed","2026-01-01","","test_pagination","",""
"","1751","test_popular_movies_by_year[chromium]","tests","2026-01-01","failed","2026-01-01","","test_film_list_by_year","",""
"","271","test_trend_tv_shows_by_rating[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_rating","",""
"","1316","test_top_rated_tvshows_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
"","1371","test_trend_movies_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
"","351","test_popular_movies_by_rating[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_rating","",""
"","1172","test_trend_movies[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_type","",""
"","1192","test_popular_movies[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_type","",""
"","1364","test_trend_tvshows_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
"","1382","test_newest_tvshows_by_genre[chromium]","tests","2026-01-01","passed","2026-01-01","","test_film_list_by_genre","",""
